scrapedid,webid,companyid,job_title,career_level,year_experience_min,currency,salary_min,salary_max
42772,1,22540.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
42899,1,22895.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
43007,1,16072.0,Marketing Executive,Junior Executive,1.0,SGD,2200.0,2800.0
44688,1,20572.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
44807,1,1884.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
45305,1,23798.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
45573,1,23912.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
45773,1,23992.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
45790,1,23999.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,4500.0
45827,1,12653.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,4200.0
45992,1,24080.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
45995,1,24082.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,3000.0
46205,1,24182.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3920.0
46257,1,16456.0,Marketing Executive,Junior Executive,2.0,SGD,2200.0,3080.0
46299,1,24218.0,Marketing Executive,Entry Level,2.0,SGD,2800.0,3500.0
46361,1,1709.0,Marketing Executive,Junior Executive,1.0,SGD,2400.0,3400.0
46409,1,2086.0,Marketing Executive,Junior Executive,2.0,SGD,2400.0,3200.0
46467,1,24290.0,Marketing Executive,Junior Executive,2.0,SGD,2400.0,2700.0
47549,1,24494.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3500.0
47573,1,12706.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
48130,1,12685.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3300.0
48314,1,1157.0,Marketing Executive,Entry Level,2.0,SGD,2800.0,3500.0
52883,1,26393.0,Marketing Executive,Junior Executive,3.0,SGD,2500.0,3200.0
56506,1,20142.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
56550,1,1072.0,Marketing Executive,Entry Level,1.0,SGD,2800.0,3600.0
57081,1,1920.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
57782,1,11901.0,Marketing Executive,Entry Level,2.0,SGD,2800.0,3500.0
57949,1,1405.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,3500.0
58426,1,20893.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,3800.0
58430,1,28026.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3200.0
58900,1,1358.0,Marketing Executive,Junior Executive,3.0,SGD,2500.0,3500.0
62412,1,15150.0,Marketing Executive,Junior Executive,1.0,SGD,3000.0,3500.0
62636,1,15724.0,Marketing Executive,Entry Level,2.0,SGD,2300.0,2800.0
63767,1,22541.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3500.0
88163,1,1971.0,Marketing Executive,Junior Executive,2.0,SGD,2810.0,3940.0
89860,1,1072.0,Marketing Executive,Entry Level,1.0,SGD,2800.0,3600.0
89920,1,37960.0,Marketing Executive,Junior Executive,3.0,SGD,2800.0,3500.0
90296,1,1920.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
90539,1,2148.0,Marketing Executive,Junior Executive,1.0,SGD,2700.0,5000.0
90603,1,17695.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,4000.0
90642,1,38298.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
90706,1,23255.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
90850,1,38411.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3000.0
90851,1,24082.0,Marketing Executive,Junior Executive,2.0,SGD,2500.0,3500.0
90900,1,16521.0,Marketing Executive,Junior Executive,3.0,SGD,3100.0,4600.0
91065,1,12706.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
91171,1,2158.0,Marketing Executive,Entry Level,3.0,SGD,3000.0,3500.0
91200,1,938.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
91291,1,15863.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
91411,1,2132.0,Marketing Executive,Junior Executive,2.0,SGD,3200.0,3500.0
91626,1,38757.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
91819,1,12232.0,Marketing Executive,Entry Level,2.0,SGD,3000.0,3800.0
91834,1,38840.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,4200.0
100664,1,18814.0,Marketing Executive,Junior Executive,2.0,SGD,2700.0,3500.0
106902,1,21001.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
106914,1,46632.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
108867,1,16109.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
112531,1,20912.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
112556,1,26218.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
112910,1,12358.0,Marketing Executive,Junior Executive,2.0,SGD,2600.0,4200.0
113096,1,1880.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
113221,1,48711.0,Marketing Executive,Junior Executive,1.0,SGD,2500.0,3200.0
113285,1,11901.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
113314,1,13306.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
113387,1,160.0,Marketing Executive,Junior Executive,2.0,SGD,3200.0,4500.0
113418,1,1348.0,Marketing Executive,Junior Executive,1.0,SGD,2800.0,3500.0
113647,1,15044.0,Marketing Executive,Junior Executive,2.0,SGD,3000.0,3600.0
113673,1,1331.0,Marketing Executive,Junior Executive,2.0,SGD,2800.0,3500.0
