scrapedid,webid,companyid,job_title,career_level,year_experience_min,currency,salary_min,salary_max
3471228,4,9979.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,4500000.0,6010000.0
3474210,4,425494.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3474730,4,405476.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,3000000.0,6000000.0
3475044,4,49295.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3477986,4,140046.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,5500000.0
3479287,4,426403.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,4500000.0,6010000.0
3493189,4,101193.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,4500000.0,5500000.0
3493756,4,39400.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3497126,4,320494.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3497823,4,428123.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3500996,4,428364.0,Marketing Executive,Supervisor/Coordinator,3.0,IDR,5500000.0,7000000.0
3502343,4,254001.0,Marketing Executive,Less than 1 year experience,1.0,IDR,4500000.0,6010000.0
3503119,4,38601.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,4500000.0,6010000.0
3505868,4,424602.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3506480,4,225310.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,3400000.0,5500000.0
3508238,4,125428.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3735048,4,9083.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3754177,4,406204.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3754258,4,446483.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3754343,4,446512.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3754488,4,446513.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3755564,4,57463.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3756095,4,38531.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3756773,4,140823.0,Marketing Executive,Less than 1 year experience,1.0,IDR,4500000.0,6010000.0
3771589,4,235544.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,5000000.0,6000000.0
3771781,4,447582.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,2000000.0,2800000.0
3775858,4,168797.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3779207,4,38078.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,10000000.0,15000000.0
3797133,4,410933.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3800806,4,73993.0,Marketing Executive,Supervisor/Coordinator,3.0,IDR,5000000.0,7000000.0
3828503,4,197615.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3831491,4,421404.0,Marketing Executive,Supervisor/Coordinator,3.0,IDR,5000000.0,8000000.0
3832027,4,452174.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3832276,4,149061.0,Marketing Executive,Supervisor/Coordinator,1.0,IDR,4500000.0,6010000.0
3832875,4,452239.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3832969,4,397936.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,7500000.0,10000000.0
3833057,4,23032.0,Marketing Executive,Supervisor/Coordinator,1.0,IDR,5500000.0,8000000.0
3857209,4,69858.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3875359,4,228925.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3886252,4,20220.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,4500000.0,6010000.0
3886383,4,10059.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3886436,4,455705.0,Marketing Executive,Supervisor/Coordinator,5.0,IDR,4500000.0,6010000.0
3886598,4,66822.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3888723,4,397953.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3888953,4,9409.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,5000000.0
3889644,4,412911.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3890301,4,337196.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,5000000.0,8000000.0
3906671,4,370535.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3911645,4,266287.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
3912817,4,366216.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,6000000.0,10000000.0
3933866,4,370470.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4901800.0,5000000.0
3963197,4,423196.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3964126,4,461160.0,Marketing Executive,Less than 1 year experience,2.0,IDR,4500000.0,6010000.0
3968888,4,115429.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
3989846,4,100356.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,6000000.0,10000000.0
4009435,4,10127.0,Marketing Executive,Less than 1 year experience,2.0,IDR,2000000.0,4000000.0
4017961,4,188806.0,Marketing Executive,Supervisor/Coordinator,5.0,IDR,4500000.0,6010000.0
4021937,4,453639.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,3000000.0,6000000.0
4022189,4,10934.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4022999,4,9902.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4024456,4,38444.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,4500000.0,6010000.0
4024495,4,38444.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,4500000.0,6010000.0
4033158,4,240483.0,Marketing Executive,Less than 1 year experience,2.0,IDR,4500000.0,6300000.0
4036971,4,197615.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4038139,4,110940.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4039981,4,144614.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,7000000.0,12000000.0
4053511,4,467982.0,Marketing Executive,Staff (non-management & non-supervisor),5.0,IDR,5000000.0,6800000.0
4057707,4,296358.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4057848,4,235834.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,3500000.0,4900000.0
4066920,4,468997.0,Marketing Executive,Supervisor/Coordinator,1.0,IDR,4500000.0,6010000.0
4068010,4,232610.0,Marketing Executive,Supervisor/Coordinator,3.0,IDR,3500000.0,5000000.0
4068400,4,448443.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4068623,4,9470.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4069647,4,189488.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4077414,4,94397.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4077524,4,367592.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,2000000.0,4000000.0
4081103,4,470225.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,2100000.0,2300000.0
4082120,4,39205.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,4500000.0,6010000.0
4082282,4,20016.0,Marketing Executive,Manager/Assistant Manager,1.0,IDR,5000000.0,7000000.0
4083516,4,428593.0,Marketing Executive,Supervisor/Coordinator,2.0,IDR,6000000.0,8000000.0
4084555,4,183936.0,Marketing Executive,Manager/Assistant Manager,3.0,IDR,10000000.0,12000000.0
4101372,4,38819.0,Marketing Executive,Supervisor/Coordinator,1.0,IDR,4500000.0,6010000.0
4102141,4,39208.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4102407,4,471804.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4105701,4,471931.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4117392,4,468021.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4126883,4,183204.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,3000000.0,3500000.0
4141984,4,410933.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4147706,4,10085.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4148499,4,195061.0,Marketing Executive,Less than 1 year experience,2.0,IDR,4000000.0,5500000.0
4173411,4,477460.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4000000.0,6000000.0
4174203,4,38531.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4174507,4,38748.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,3500000.0,4000000.0
4174954,4,370535.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4177105,4,62853.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4189780,4,57463.0,Marketing Executive,Staff (non-management & non-supervisor),2.0,IDR,4500000.0,6010000.0
4189814,4,478789.0,Marketing Executive,Supervisor/Coordinator,3.0,IDR,8000000.0,10000000.0
4204601,4,115432.0,Marketing Executive,Staff (non-management & non-supervisor),5.0,IDR,4500000.0,6010000.0
4205021,4,479894.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,4500000.0,6010000.0
4217385,4,252718.0,Marketing Executive,Manager/Assistant Manager,5.0,IDR,7500000.0,10500000.0
4220795,4,197615.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4225598,4,423193.0,Marketing Executive,Staff (non-management & non-supervisor),3.0,IDR,4500000.0,6010000.0
4228282,4,38266.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4228293,4,149634.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4228418,4,151104.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4234214,4,116113.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4234276,4,355149.0,Marketing Executive,Staff (non-management & non-supervisor),1.0,IDR,4500000.0,6010000.0
4237114,4,140823.0,Marketing Executive,Less than 1 year experience,1.0,IDR,4500000.0,6010000.0
